filename, T, r, c, g, a, t, avg, avg_ref, tp, tn, fp, fn, bacc, acc, precision, tp_rate/recall, fn_rate/miss rate, fp_rate/fall-out, tn_rate/specificity
2days_1sec_flow-based.tsv,-2.5,3,3,10,05,1,mean,mean,2346,173112,573,171339,0.505104067709,0.505104067709,0.803699897225,0.0135072113309,0.986492788669,0.00329907591329,0.996700924087
2days_1sec_flow-based.tsv,-2.5,4,4,10,05,1,mean,mean,2381,173165,518,171302,0.505363219198,0.505363219198,0.821317695757,0.0137088834256,0.986291116574,0.00298244502916,0.997017554971
2days_1sec_flow-based.tsv,-2.5,5,5,10,05,1,mean,mean,2438,173198,483,171243,0.505628134338,0.505628134338,0.834645669291,0.014037229173,0.985962770827,0.00278096049654,0.997219039503
2days_1sec_flow-based.tsv,-3.0,1,1,10,05,1,mean,mean,838,173105,584,172851,0.500731191958,0.500731191958,0.589310829817,0.00482471543967,0.99517528456,0.00336233152359,0.996637668476
2days_1sec_flow-based.tsv,-3.0,2,2,10,05,1,mean,mean,928,173112,575,172759,0.5010161958,0.5010161958,0.617431803061,0.0053429444921,0.994657055508,0.00331055289112,0.996689447109
2days_1sec_flow-based.tsv,-3.0,3,3,10,05,1,mean,mean,977,173245,440,172708,0.501545902064,0.501545902064,0.6894848271,0.0056251259464,0.994374874054,0.00253332181823,0.997466678182
2days_1sec_flow-based.tsv,-3.0,4,4,10,05,1,mean,mean,993,173271,412,172690,0.501672587415,0.501672587415,0.706761565836,0.00571731257521,0.994282687425,0.0023721377452,0.997627862255
2days_1sec_flow-based.tsv,-3.0,5,5,10,05,1,mean,mean,970,173340,341,172711,0.501810791048,0.501810791048,0.739893211289,0.00558495172183,0.994415048278,0.00196336962592,0.998036630374
2days_1sec_flow-based.tsv,-3.5,1,1,10,05,1,mean,mean,666,173181,508,173023,0.500454835942,0.500454835942,0.567291311755,0.00383443971697,0.996165560283,0.00292476783216,0.997075232168
2days_1sec_flow-based.tsv,-3.5,2,2,10,05,1,mean,mean,686,173255,432,173001,0.500731200378,0.500731200378,0.613595706619,0.00394963353619,0.996050366464,0.00248723278081,0.997512767219
2days_1sec_flow-based.tsv,-3.5,3,3,10,05,1,mean,mean,659,173322,363,173026,0.500852117339,0.500852117339,0.64481409002,0.00379422517776,0.996205774822,0.00208999050004,0.9979100095
2days_1sec_flow-based.tsv,-3.5,4,4,10,05,1,mean,mean,640,173391,292,173043,0.501001825164,0.501001825164,0.68669527897,0.0036848741673,0.996315125833,0.00168122383883,0.998318776161
2days_1sec_flow-based.tsv,-3.5,5,5,10,05,1,mean,mean,586,173416,265,173095,0.500924107991,0.500924107991,0.688601645123,0.00337400176185,0.996625998238,0.00152578577968,0.99847421422
2days_1sec_flow-based.tsv,-0.5,1,1,60,05,1,mean,mean,172181,161298,12341,1458,0.960265262988,0.960265262988,0.933119086071,0.991603268851,0.00839673114911,0.0710727428746,0.928927257125
2days_1sec_flow-based.tsv,-0.5,2,2,60,05,1,mean,mean,172134,163216,10421,1503,0.965664000184,0.965664000184,0.942915833584,0.991344010781,0.00865598921889,0.0600160104125,0.939983989587
2days_1sec_flow-based.tsv,-0.5,3,3,60,05,1,mean,mean,172086,163697,9938,1549,0.966921991534,0.966921991534,0.945402804026,0.991078987531,0.00892101246868,0.0572350044634,0.942764995537
2days_1sec_flow-based.tsv,-0.5,4,4,60,05,1,mean,mean,172048,163955,9678,1585,0.967566649197,0.967566649197,0.946743999208,0.990871550915,0.00912844908514,0.0557382525211,0.944261747479
2days_1sec_flow-based.tsv,-0.5,5,5,60,05,1,mean,mean,172053,164018,9613,1578,0.967773611855,0.967773611855,0.947084209483,0.990911761149,0.00908823885136,0.0553645374386,0.944635462561
2days_1sec_flow-based.tsv,-1.0,1,1,60,05,1,mean,mean,168998,170719,2920,4641,0.978227817483,0.978227817483,0.983015158389,0.973272133564,0.0267278664355,0.0168164985977,0.983183501402
2days_1sec_flow-based.tsv,-1.0,2,2,60,05,1,mean,mean,169393,170780,2857,4244,0.979552169181,0.979552169181,0.983413642961,0.975558204761,0.0244417952395,0.0164538663994,0.983546133601
2days_1sec_flow-based.tsv,-1.0,3,3,60,05,1,mean,mean,169456,170737,2898,4179,0.979621044144,0.979621044144,0.983185768825,0.975932271719,0.0240677282806,0.0166901834308,0.983309816569
2days_1sec_flow-based.tsv,-1.0,4,4,60,05,1,mean,mean,169407,170696,2937,4226,0.979373160632,0.979373160632,0.982958501601,0.975661308622,0.0243386913778,0.0169149873584,0.983085012642
2days_1sec_flow-based.tsv,-1.0,5,5,60,05,1,mean,mean,169374,170655,2976,4257,0.979171346131,0.979171346131,0.98273281114,0.975482488726,0.0245175112739,0.0171397964649,0.982860203535
2days_1sec_flow-based.tsv,-1.5,1,1,60,05,1,mean,mean,144020,172451,1188,29619,0.91129009036,0.91129009036,0.991818632582,0.829421961656,0.170578038344,0.00684178093631,0.993158219064
2days_1sec_flow-based.tsv,-1.5,2,2,60,05,1,mean,mean,146444,172377,1260,27193,0.918067577763,0.918067577763,0.991469425337,0.843391673434,0.156608326566,0.00725651790805,0.992743482092
2days_1sec_flow-based.tsv,-1.5,3,3,60,05,1,mean,mean,147377,172346,1289,26258,0.920675555044,0.920675555044,0.991329557532,0.848774728597,0.151225271403,0.00742361851009,0.99257638149
2days_1sec_flow-based.tsv,-1.5,4,4,60,05,1,mean,mean,147973,172266,1367,25660,0.922172052548,0.922172052548,0.990846390786,0.852217032477,0.147782967523,0.00787292738132,0.992127072619
2days_1sec_flow-based.tsv,-1.5,5,5,60,05,1,mean,mean,148254,172315,1316,25377,0.923132965887,0.923132965887,0.99120144414,0.853845223491,0.146154776509,0.00757929171634,0.992420708284
2days_1sec_flow-based.tsv,-2.0,1,1,60,05,1,mean,mean,59984,172795,844,113655,0.670295843676,0.670295843676,0.986124810942,0.345452346535,0.654547653465,0.00486065918371,0.995139340816
2days_1sec_flow-based.tsv,-2.0,2,2,60,05,1,mean,mean,58183,172775,862,115454,0.665059866273,0.665059866273,0.985400965365,0.335084112257,0.664915887743,0.0049643797117,0.995035620288
2days_1sec_flow-based.tsv,-2.0,3,3,60,05,1,mean,mean,57323,172728,907,116312,0.662455726092,0.662455726092,0.98442383651,0.330135053417,0.669864946583,0.00522360123247,0.994776398768
