filename,T,r,c,g,a,t,avg,avg_ref,tp,tn,fp,fn,bacc,acc,precision,tp_rate/recall,fn_rate/missrate,fp_rate/fall-out,tn_rate/specificity,mcc
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,3,3,60,05,1,mean,mean,194,16000,21,15827,0.505399163598,0.505399163598,0.902325581395,0.0121091067973,0.987890893203,0.00131077960177,0.998689220398,0.06613464415328218,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,3,3,60,05,1,mean,mean,39,16016,5,15982,0.501061107297,0.501061107297,0.886363636364,0.00243430497472,0.997565695025,0.000312090381374,0.999687909619,0.028654389618355203,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,3,3,60,05,1,mean,mean,14,16019,2,16007,0.500374508458,0.500374508458,0.875,0.000873853067848,0.999126146932,0.00012483615255,0.999875163847,0.01676370096050427,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,3,3,300,05,1,mean,mean,11604,14133,1648,4177,0.815442620873,0.815442620873,0.875641412617,0.735314618845,0.264685381155,0.104429377099,0.895570622901,0.6391458923951916,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,3,3,300,05,1,mean,mean,4454,15484,297,11327,0.631709017173,0.631709017173,0.937486844875,0.282238134465,0.717761865535,0.0188201001204,0.98117989988,0.36832483499896185,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,3,3,300,05,1,mean,mean,885,15704,77,14896,0.525600405551,0.525600405551,0.919958419958,0.0560800963184,0.943919903682,0.0048792852164,0.995120714784,0.14892345784275676,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,3,3,300,05,1,mean,mean,188,15764,17,15593,0.50541790761,0.50541790761,0.917073170732,0.0119130600089,0.988086939991,0.00107724478804,0.998922755212,0.06744533666486255,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,3,3,300,05,1,mean,mean,46,15777,4,15735,0.50133071415,0.50133071415,0.92,0.00291489766175,0.997085102338,0.000253469361891,0.999746530638,0.03346002832950264,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,3,3,300,05,1,mean,mean,11,15777,4,15770,0.500221785692,0.500221785692,0.733333333333,0.0006970407452,0.999302959255,0.000253469361891,0.999746530638,0.010175912819997265,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,4,4,5,05,1,mean,mean,13248,15303,771,2826,0.888111235536,0.888111235536,0.945003209929,0.824188129899,0.175811870101,0.0479656588279,0.952034341172,0.7826448516355249,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,4,4,5,05,1,mean,mean,2739,15916,158,13335,0.580284932189,0.580284932189,0.94546082154,0.170399402762,0.829600597238,0.00982953838497,0.990170461615,0.2803776543004852,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,4,4,5,05,1,mean,mean,438,16049,25,15636,0.512846833396,0.512846833396,0.946004319654,0.0272489734976,0.972751026502,0.00155530670648,0.998444693294,0.10782828563818103,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,4,4,5,05,1,mean,mean,88,16069,5,15986,0.502581809133,0.502581809133,0.94623655914,0.00547467960682,0.994525320393,0.000311061341297,0.999688938659,0.04807161662539629,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,4,4,5,05,1,mean,mean,17,16074,0,16057,0.50052880428,0.50052880428,1.0,0.00105760856041,0.99894239144,0.0,1.0,0.02300182736481372,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,4,4,5,05,1,mean,mean,2,16074,0,16072,0.500062212268,0.500062212268,1.0,0.000124424536519,0.999875575463,0.0,1.0,0.00788772076498794,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,4,4,10,05,1,mean,mean,13028,15194,875,3041,0.878150476072,0.878150476072,0.937063943034,0.810753624992,0.189246375008,0.0544526728483,0.945547327152,0.7632667657579002,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,4,4,10,05,1,mean,mean,3006,15919,150,13063,0.588866762088,0.588866762088,0.95247148289,0.187068268094,0.812931731906,0.00933474391686,0.990665256083,0.2986245647573126,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,4,4,10,05,1,mean,mean,460,16050,19,15609,0.513722073558,0.513722073558,0.960334029228,0.0286265480117,0.971373451988,0.00118240089614,0.998817599104,0.11324583448009026,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,4,4,10,05,1,mean,mean,78,16067,2,15991,0.502364801792,0.502364801792,0.975,0.00485406683677,0.995145933163,0.000124463252225,0.999875536748,0.04745701155360083,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,4,4,10,05,1,mean,mean,8,16069,0,16061,0.500248926504,0.500248926504,1.0,0.000497853008899,0.999502146991,0.0,1.0,0.015779368944371694,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,4,4,10,05,1,mean,mean,1,16069,0,16068,0.500031115813,0.500031115813,1.0,6.22316261124e-05,0.999937768374,0.0,1.0,0.0055782417731884285,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,4,4,60,05,1,mean,mean,12540,14958,1061,3479,0.858293276734,0.858293276734,0.921991030071,0.782820400774,0.217179599226,0.0662338473063,0.933766152694,0.724892335302564,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,4,4,60,05,1,mean,mean,3600,15813,206,12419,0.605936700169,0.605936700169,0.945874934314,0.224733129409,0.775266870591,0.0128597290717,0.987140270928,0.3274210699266564,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,4,4,60,05,1,mean,mean,581,15982,37,15438,0.516979836444,0.516979836444,0.940129449838,0.0362694300518,0.963730569948,0.00230975716337,0.997690242837,0.12345297831819087,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,4,4,60,05,1,mean,mean,117,16012,7,15902,0.50343342281,0.50343342281,0.943548387097,0.00730382670579,0.992696173294,0.000436981084962,0.999563018915,0.0552956824252155,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,4,4,60,05,1,mean,mean,21,16019,0,15998,0.500655471627,0.500655471627,1.0,0.00131094325488,0.998689056745,0.0,1.0,0.02561057500917034,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,4,4,60,05,1,mean,mean,4,16019,0,16015,0.500124851739,0.500124851739,1.0,0.000249703477121,0.999750296523,0.0,1.0,0.011174405060830199,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,4,4,300,05,1,mean,mean,11715,14213,1566,4064,0.82159832689,0.82159832689,0.88208719223,0.74244248685,0.25755751315,0.0992458330693,0.900754166931,0.6514114803822401,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,4,4,300,05,1,mean,mean,4358,15551,228,11421,0.630870143862,0.630870143862,0.950283471435,0.276189872616,0.723810127384,0.0144495848913,0.985550415109,0.37134403400780225,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,4,4,300,05,1,mean,mean,821,15740,39,14958,0.524779770581,0.524779770581,0.954651162791,0.0520311806832,0.947968819317,0.00247163952088,0.997528360479,0.15219573648711518,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,4,4,300,05,1,mean,mean,132,15773,6,15647,0.503992648457,0.503992648457,0.95652173913,0.0083655491476,0.991634450852,0.000380252233982,0.999619747766,0.06051010569992706,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,4,4,300,05,1,mean,mean,28,15779,0,15751,0.500887255213,0.500887255213,1.0,0.00177451042525,0.998225489575,0.0,1.0,0.02980005257585342,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,4,4,300,05,1,mean,mean,4,15779,0,15775,0.500126750745,0.500126750745,1.0,0.000253501489321,0.999746498511,0.0,1.0,0.011259076891490747,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,5,5,5,05,1,mean,mean,13269,15365,707,2803,0.890803882529,0.890803882529,0.949413279908,0.825597312096,0.174402687904,0.0439895470383,0.956010452962,0.7883403983601545,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,5,5,5,05,1,mean,mean,2687,15969,103,13385,0.580388252862,0.580388252862,0.963082437276,0.16718516675,0.83281483325,0.00640866102539,0.993591338975,0.2855332987490215,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,5,5,5,05,1,mean,mean,371,16062,10,15701,0.511230711797,0.511230711797,0.97375328084,0.0230836236934,0.976916376307,0.000622200099552,0.9993777999,0.1037729007716331,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,5,5,5,05,1,mean,mean,52,16071,1,16020,0.501586610254,0.501586610254,0.981132075472,0.00323544051767,0.996764559482,6.22200099551e-05,0.99993777999,0.03910574968482803,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,5,5,5,05,1,mean,mean,5,16072,0,16067,0.500155550025,0.500155550025,1.0,0.000311100049776,0.99968889995,0.0,1.0,0.012472939688080395,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,5,5,5,05,1,mean,mean,0,16072,0,16072,0.5,0.5,-1,0.0,1.0,0.0,1.0,0,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,5,5,10,05,1,mean,mean,13073,15291,776,2994,0.882678782598,0.882678782598,0.943967073435,0.813655318354,0.186344681646,0.0482977531586,0.951702246841,0.7727561730833664,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,5,5,10,05,1,mean,mean,2921,15976,91,13146,0.588068712267,0.588068712267,0.9697875166,0.181801207444,0.818198792556,0.00566378290907,0.994336217091,0.3021679185449463,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,5,5,10,05,1,mean,mean,394,16060,7,15673,0.512043318603,0.512043318603,0.982543640898,0.0245223128151,0.975477687185,0.00043567560839,0.999564324392,0.10848837717499889,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,5,5,10,05,1,mean,mean,45,16067,0,16022,0.501400385884,0.501400385884,1.0,0.00280077176822,0.997199228232,0.0,1.0,0.03744796008937681,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,5,5,10,05,1,mean,mean,4,16067,0,16063,0.500124478745,0.500124478745,1.0,0.000248957490508,0.999751042509,0.0,1.0,0.011157698783409642,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,5,5,10,05,1,mean,mean,0,16067,0,16067,0.5,0.5,-1,0.0,1.0,0.0,1.0,0,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,5,5,60,05,1,mean,mean,12623,15034,983,3394,0.863363925829,0.863363925829,0.927752462149,0.788100143597,0.211899856403,0.0613722919398,0.93862770806,0.7351037618155971,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,5,5,60,05,1,mean,mean,3515,15877,140,12502,0.605356808391,0.605356808391,0.96169630643,0.219454329775,0.780545670225,0.00874071299245,0.991259287008,0.3313840050994308,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.15,5,5,60,05,1,mean,mean,519,15995,22,15498,0.515514765562,0.515514765562,0.959334565619,0.0324030717363,0.967596928264,0.0013735406131,0.998626459387,0.12040672378517964,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.2,5,5,60,05,1,mean,mean,77,16017,0,15940,0.502403696073,0.502403696073,1.0,0.00480739214585,0.995192607854,0.0,1.0,0.04908653327709075,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.25,5,5,60,05,1,mean,mean,8,16017,0,16009,0.500249734657,0.500249734657,1.0,0.000499469313854,0.999500530686,0.0,1.0,0.015804968835941343,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.3,5,5,60,05,1,mean,mean,0,16017,0,16017,0.5,0.5,-1,0.0,1.0,0.0,1.0,0,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.05,5,5,300,05,1,mean,mean,11742,14312,1465,4035,0.825695632883,0.825695632883,0.889073975922,0.744247955885,0.255752044115,0.0928566901185,0.907143309881,0.6602094511454687,
optimum_mawi_udp_tcp_count_flow-based_l10.tsv,0.1,5,5,300,05,1,mean,mean,4294,15598,179,11483,0.630411358306,0.630411358306,0.959982114912,0.272168346327,0.727831653673,0.0113456297141,0.988654370286,0.3738849999603465,
